"SRS Crime Rates by Local Police Department (Ranked by Population)"
"Current date: 5/26/2026 4:00:08 PM (Eastern Daylight Time)"
"Summary Date: 2024"
"Data source: MA_Summary, Summary Combined Return A & Part I Data"
"Measures","Number of Actual Offenses","Estimated Population","Summary Offense Rate (per 1,000)",
"Jurisdiction by Geography"
"Massachusetts","155,686","7,009,722","22.21"
"Boston","29,732","642,823","46.25"
"Worcester","7,179","206,145","34.83"
"Springfield","9,456","154,218","61.32"
"Cambridge","4,741","118,960","39.85"
"Lowell","3,732","113,124","32.99"
"Brockton","3,360","108,938","30.84"
"Quincy","2,522","102,465","24.61"
"Lynn","2,635","101,144","26.05"
"New Bedford","3,742","100,876","37.10"
"Fall River","3,637","93,879","38.74"
"Lawrence","1,946","87,806","22.16"
"Newton","752","86,996","8.64"
"Somerville","1,783","79,513","22.42"
"Framingham","1,238","70,624","17.53"
"Plymouth","1,210","68,771","17.59"
"Medford","1,133","68,280","16.59"
"Haverhill","1,723","67,133","25.67"
"Malden","1,290","64,291","20.07"
"Waltham","999","63,797","15.66"
"Brookline","783","62,639","12.50"
"Taunton","1,188","60,356","19.68"
"Weymouth","862","57,725","14.93"
"Revere","1,603","57,132","28.06"
"Chicopee","2,033","55,043","36.93"
"Peabody","864","53,841","16.05"
"Methuen","873","53,558","16.30"
"Barnstable","972","50,034","19.43"
"Everett","1,121","49,740","22.54"
"Amherst","324","48,936","6.62"
"Attleboro","1,086","46,825","23.19"
"Arlington","322","45,365","7.10"
"Salem","1,386","45,005","30.80"
"Leominster","1,333","43,746","30.47"
"Pittsfield","911","43,078","21.15"
"Beverly","393","42,205","9.31"
"Woburn","639","41,620","15.35"
"Fitchburg","1,253","41,566","30.14"
"Billerica","400","41,220","9.70"
"Marlborough","864","40,773","21.19"
"Westfield","561","40,649","13.80"
"Shrewsbury","341","40,640","8.39"
"Braintree","679","38,544","17.62"
"Chelsea","1,633","37,837","43.16"
"Holyoke","3,312","37,706","87.84"
"Andover","408","36,398","11.21"
"Natick","631","36,090","17.48"
"Chelmsford","539","35,807","15.05"
"Watertown","901","34,988","25.75"
"Dartmouth","787","34,610","22.74"
"Franklin","216","34,538","6.25"
"Lexington","182","34,044","5.35"
"Falmouth","692","33,512","20.65"
"Randolph","584","32,757","17.83"
"Needham","300","32,309","9.29"
"Dracut","358","31,951","11.20"
"North Andover","269","31,631","8.50"
"Norwood","392","31,381","12.49"
"Wellesley","210","31,209","6.73"
"North Attleborough","432","31,089","13.90"
"Tewksbury","557","30,740","18.12"
"Northampton","723","30,422","23.77"
"Milford","597","30,233","19.75"
"Gloucester","395","29,991","13.17"
"Stoughton","584","29,003","20.14"
"Melrose","250","28,982","8.63"
"Saugus","554","28,619","19.36"
"West Springfield","1,286","28,521","45.09"
"Agawam","569","28,430","20.01"
"Milton","245","28,417","8.62"
"Danvers","608","27,757","21.90"
"Wakefield","234","27,175","8.61"
"Marshfield","112","26,764","4.18"
"Belmont","258","26,556","9.72"
"Walpole","381","26,314","14.48"
"Burlington","629","25,894","24.29"
"Middleborough","433","25,474","17.00"
"Yarmouth","440","25,465","17.28"
"Easton","306","25,413","12.04"
"Reading","203","25,135","8.08"
"Hingham","277","25,093","11.04"
"Dedham","495","25,038","19.77"
"Canton","291","24,864","11.70"
"Westford","117","24,262","4.82"
"Wareham","498","24,072","20.69"
"Mansfield","337","23,880","14.11"
"Acton","152","23,856","6.37"
"Wilmington","369","22,797","16.19"
"Winchester","117","22,585","5.18"
"Stoneham","240","22,554","10.64"
"Westborough","398","21,566","18.45"
"Ludlow","264","21,038","12.55"
"Bourne","520","20,885","24.90"
"Sandwich","167","20,869","8.00"
"Gardner","305","20,816","14.65"
"Marblehead","192","20,222","9.49"
"Scituate","55","20,065","2.74"
"Grafton","97","19,971","4.86"
"Holden","90","19,941","4.51"
"Hudson","193","19,676","9.81"
"Hopkinton","96","19,559","4.91"
"Norton","89","19,124","4.65"
"Sudbury","88","19,077","4.61"
"Pembroke","116","19,052","6.09"
"South Hadley","276","19,030","14.50"
"Newburyport","144","18,912","7.61"
"Foxborough","333","18,542","17.96"
"Sharon","62","18,449","3.36"
"Ashland","185","18,356","10.08"
"Rockland","244","18,273","13.35"
"Winthrop","193","18,216","10.60"
"Somerset","242","18,208","13.29"
"Concord","141","17,824","7.91"
"Bellingham","285","17,750","16.06"
"Abington","363","17,641","20.58"
"Southbridge","334","17,633","18.94"
"Webster","473","17,596","26.88"
"Swansea","234","17,437","13.42"
"Greenfield","641","17,249","37.16"
"Amesbury","251","17,160","14.63"
"Duxbury","83","16,809","4.94"
"Auburn","336","16,769","20.04"
"Westport","156","16,506","9.45"
"East Longmeadow","341","16,411","20.78"
"Northbridge","114","16,405","6.95"
"Westwood","224","16,322","13.72"
"Whitman","240","15,981","15.02"
"Easthampton","155","15,980","9.70"
"Fairhaven","235","15,854","14.82"
"Seekonk","358","15,757","22.72"
"Mashpee","185","15,732","11.76"
"Raynham","279","15,697","17.77"
"Northborough","90","15,694","5.73"
"Longmeadow","129","15,626","8.26"
"North Reading","101","15,607","6.47"
"Clinton","43","15,576","2.76"
"Swampscott","223","15,418","14.46"
"Hanover","195","15,357","12.70"
"Belchertown","159","15,311","10.38"
"Dennis","268","15,117","17.73"
"East Bridgewater","100","14,906","6.71"
"Holliston","57","14,849","3.84"
"Wilbraham","320","14,572","21.96"
"Nantucket","289","14,567","19.84"
"Uxbridge","107","14,535","7.36"
"Kingston","192","14,477","13.26"
"Bedford","81","14,117","5.74"
"Millbury","313","14,040","22.29"
"Ipswich","79","13,941","5.67"
"Harwich","123","13,806","8.91"
"Medway","65","13,630","4.77"
"Wayland","93","13,597","6.84"
"Charlton","110","13,434","8.19"
"Rehoboth","78","13,330","5.85"
"Oxford","173","13,313","12.99"
"Medfield","60","13,288","4.52"
"Lynnfield","154","12,983","11.86"
"North Adams","629","12,701","49.52"
"Wrentham","296","12,676","23.35"
"Lakeville","126","12,592","10.01"
"Tyngsborough","130","12,402","10.48"
"Palmer","293","12,361","23.70"
"Carver","107","12,118","8.83"
"Spencer","59","11,928","4.95"
"Athol","208","11,923","17.45"
"Lunenburg","171","11,900","14.37"
"Dudley","93","11,864","7.84"
"Norwell","77","11,729","6.56"
"Pepperell","101","11,677","8.65"
"Weston","65","11,649","5.58"
"Norfolk","65","11,620","5.59"
"Holbrook","315","11,303","27.87"
"Groton","35","11,144","3.14"
"Leicester","160","11,057","14.47"
"Hanson","79","11,018","7.17"
"Acushnet","80","10,636","7.52"
"Hull","113","10,618","10.64"
"Brewster","63","10,546","5.97"
"Ware","143","10,535","13.57"
"Maynard","179","10,497","17.05"
"Winchendon","172","10,443","16.47"
"Southborough","38","10,429","3.64"
"Littleton","60","10,182","5.89"
"Middleton","62","9,983","6.21"
"Sturbridge","155","9,934","15.60"
"Plainville","269","9,892","27.19"
"Rutland","71","9,447","7.52"
"Sutton","87","9,426","9.23"
"Freetown","144","9,283","15.51"
"Douglas","61","9,266","6.58"
"Blackstone","50","9,257","5.40"
"Southwick","99","9,226","10.73"
"Bridgewater","118","9,221","12.80"
"Salisbury","131","9,208","14.23"
"Millis","19","9,060","2.10"
"Townsend","91","8,904","10.22"
"Berkshire State Police","37","8,812","4.20"
"Ayer","122","8,430","14.47"
"Montague","118","8,412","14.03"
"Georgetown","46","8,411","5.47"
"Westminster","81","8,410","9.63"
"Lancaster","97","8,409","11.54"
"Cohasset","57","8,380","6.80"
"Sterling","50","8,250","6.06"
"Templeton","53","8,234","6.44"
"Dighton","59","8,226","7.17"
"Upton","40","8,220","4.87"
"Monson","92","8,115","11.34"
"Boxford","16","8,103","1.97"
"Halifax","107","8,004","13.37"
"Adams","162","8,003","20.24"
"West Bridgewater","109","7,907","13.79"
"West Boylston","37","7,846","4.72"
"Williamstown","92","7,710","11.93"
"Orange","146","7,556","19.32"
"Hamilton","28","7,536","3.72"
"Great Barrington","121","7,235","16.72"
"Stow","48","7,012","6.85"
"Rockport","27","6,918","3.90"
"Mattapoisett","46","6,913","6.65"
"Harvard","18","6,912","2.60"
"Berkley","54","6,834","7.90"
"Lincoln","23","6,814","3.38"
"Chatham","65","6,793","9.57"
"Groveland","8","6,733","1.19"
"Merrimac","25","6,715","3.72"
"Newbury","51","6,710","7.60"
"Shirley","54","6,595","8.19"
"Orleans","88","6,504","13.53"
"Topsfield","27","6,502","4.15"
"Ashburnham","60","6,425","9.34"
"Rowley","1","6,369","0.16"
"Mendon","42","6,339","6.63"
